Key;Id;Spanish(es);English(en);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
app_mushroom_desc;1.06E+16;Elige una carta de herbívoro o carnívoro y muévela a un espacio vacío en un territorio donde haya al menos una carta de hongo o macrohongo.;Lorem Ipsum is simply dummy text of printing presses and text files. Lorem Ipsum has been the industries' standard dummy text since the 1500s, when a dfgdf dfgfd dfghgfh fgfh dfgdfg dfgdfg fdg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
app_mushroom_name;1.06E+16;Seta Apetitosa;Appetizing Mushroom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
arson_desc;1.13E+16;Elige un territorio. Todas las cartas de población y hongo en ese territorio mueren. Si hay una construcción, también se destruye.;Lorem Ipsum is simply dummy text of printing presses and text files. Lorem Ipsum has been the industries' standard dummy text since the 1500s, when a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
arson_name;1.13E+16;Incendio Provocado;Arson;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
c_token_desc;7.64E+14;Lorem Ipsum es simplemente el texto de relleno de las imprentas y archivos de texto. Lorem Ipsum ha sido el texto de relleno estándar de las industrias desde el año 1500, cuando un.;Lorem Ipsum is simply dummy text of printing presses and text files. Lorem Ipsum has been the industries' standard dummy text since the 1500s, when a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
c_token_name;7.64E+14;Ficha de Construcción;Construction Token;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
carnivore_desc;8.07E+12;Juégala sobre un espacio de territorio vacío para hacer aparecer un carnívoro.;Play it on an empty territory space to make a carnivore appear.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
carnivore_name;8521510912;Carnívoro;Carnivore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
compost_desc;1.13E+16;Elige un espacio vacío de un territorio. Coloca una carta de hongo y una carta de planta encima.;Lorem Ipsum is simply dummy text of printing presses and text files. Lorem Ipsum has been the industries' standard dummy text since the 1500s, when a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
compost_name;1.13E+16;Compost;Compost;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
deep_roots_desc;1.35E+16;Coloca esta carta sobre una carta de planta. Si muere, crece otra carta de planta igual y esta carta se descarta.;Lorem Ipsum is simply dummy text of printing presses and text files. Lorem Ipsum has been the industries' standard dummy text since the 1500s, when a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
deep_roots_name;1.35E+16;Raíces Profundas;Deep Roots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fireworks_desc;1.06E+16;Elige una carta de herbívoro o carnívoro y muévela a un espacio vacío en el territorio opuesto al que se encuentra.;Lorem Ipsum is simply dummy text of printing presses and text files. Lorem Ipsum has been the industries' standard dummy text since the 1500s, when a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fireworks_name;1.06E+16;Pirotecnia;Fireworks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
