Key;Id;Spanish(es);English(en)
eco_0_0;6978007040;Saludos. Me presento: soy el Manual de Reglas. Si quieres jugar una partida de Stratum, antes tendrás que conocer todas las reglas, de lo contrario te será imposible enterarte de lo que sucede en el juego.;Hola gola
eco_0_1;1.82916E+11;Stratum es un juego de cartas diferente. Ancestral. Su característica más importante es el Ecosistema.;a
eco_0_2;4.87838E+11;En Stratum las cartas son poblaciones de un ecosistema vivo y en constante cambio. Según las cartas de Población que haya en la mesa, estará equilibrado o desequilibrado.;a
eco_0_3;6.40498E+11;Si el ecosistema está desequilibrado, se regulará él sólo con las leyes de la Naturaleza. Es muy importante que las conozcas bien, pues tendrás que usarlas a tu favor.;salen setas setas salen
eco_0_4;4.92773E+12;Hay cartas de Población de Planta, Herbívoro y Carnívoro.;a
eco_1_0;6.04801E+12;Observemos un ecosistema con plantas y herbívoros.;a
eco_1_1;6.27906E+12;Si introducimos demasiados herbívoros al ecosistema (2 más que plantas)...;a
eco_2_0;6.5022E+12;...morirán por falta de alimento.;a
eco_2_1;6.56446E+12;Cuando muere una población por las Reglas del Ecosistema, se descarta la carta de dicha población jugada más recientemente. Esta está marcada con una ficha.;a
eco_2_2;6.80326E+12;Te habrás fijado que ha aparecido una seta. Las setas aparecen cuando una carta de Población muere debido a las Reglas del Ecosistema.;a
eco_2_3;7.3256E+12;Ahora hemos introducido más plantas al ecosistema, y quitado herbívoros. Como hay 2 plantas más que herbívoros, estos crecerán.;a
eco_3_0;7.67773E+12;Cuando una población crece, se le añade una carta encima a la carta de dicha población jugada más recientemente (como cuando muere), es decir, la marcada con una ficha.;a
eco_3_1;8.67259E+12;Veamos ahora las interacciones entre herbívoros y carnívoros.;a
eco_4_0;8.9313E+12;Es necesario poner suficientes plantas en el ecosistema, porque sino los herbívoros mueren, sí o sí, de inanición.;a
eco_4_1;9.17832E+12;Sin embargo, en este ecosistema hay demasiados carnívoros (2 más que herbívoros).;a
eco_5_0;9.55445E+12;Los herbívoros mueren, porque tienen demasiados depredadores. Su población disminuye.;a
eco_5_1;9.75403E+12;Pero esto también ha afectado a los carnívoros, que no tienen suficiente comida para todos, así que también mueren de inanición.;a
eco_6_0;1.00192E+13;Pero, ¿qué pasa si hay 2 plantas más que herbívoros, pero también 2 carnívoros más que herbívoros?;a
eco_7_0;1.08616E+13;Los herbívoros no pueden morir y crecer a la vez, así que si se cumple la condición de muerte, da igual que también se cumpla la de crecimiento: los herbívoros disminuyen.;a
eco_7_1;1.11274E+13;Por último, vamos a ver una situación en la que crece la población de carnívoros.;a
eco_8_0;1.12837E+13;Como te puedes imaginar, si hay 2 herbívoros más que carnívoros, los carnívoros crecen.;a
eco_9_0;1.15021E+13;Los herbívoros también crecieron, al tener muy pocos depredadores.;a
eco_9_1;1.17653E+13;Es importante saber que se comprueba primero la muerte de los herbívoros, luego su crecimiento, luego la muerte de los carnívoros, y luego su crecimiento.;a
eco_9_2;1.19301E+13;En resumen: los herbívoros mueren si hay al menos 2 plantas menos o no hay plantas, o si hay al menos 2 carnívoros más. Crecen si hay al menos 2 plantas más, o al menos 2 carnívoros menos.;a
eco_9_3;1.22174E+13;Y, los carnívoros mueren si hay 2 herbívoros menos o no hay herbívoros, y crecen si hay al menos 2 herbívoros más.;a
eco_9_4;1.27192E+13;Un poco complicado, lo sé. Pero si entiendes el ecosistema, dominarás cada partida de Stratum.;a
sag_0_0;5.27378E+13;"Muy bien. Ahora te explicaré el funcionamiento del juego. En Stratum hay 4 jugadores. Sagitario, a quien controlarás inicialmente; Fungaloth; Ygdra; y el Magnate. Cada personaje tiene un objetivo distinto para ganar.";a
sag_0_1;5.31361E+13;Sagitario es un centauro protector del bosque de Sylveria. Junto con Ygdra, busca equilibrar el ecosistema para que crezcan animales. Ygdra y Sagitario ganan una partida de Stratum si consiguen hacer crecer a 7 poblaciones.;a
sag_1_0;5.3577E+13;La ronda empieza siempre con el turno de Sagitario. En cada turno puedes jugar 2 cartas. De momento sólo tienes cartas de Población, así que juegalas donde quieras.;a
